comment_id,parent_id,author,text,likes,is_reply,video_id,video_title,provocatiStimulusveness
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3mMGjGhcj,Ugw1PXuZE5P6wtyjgpR4AaABAg,@체크메이트-u5j,북한에 억류되었던 군인분께서 겨우 탈출해 대사관에 전화해서 도와달라고 하니 여직원이 그래서묘? 이러면서 대응안해줘서 결국 다른 나라 대사관가서 겨우 돌아오셨다고하죠<br>우리나라 외교부와 대사관 직원들은 무능하기 짝이 없습니다,33,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3muiGEX8k,Ugw1PXuZE5P6wtyjgpR4AaABAg,@블랙커피-t6r,국군 포로가 탈북에  성공해서 한국 대사관에  도와달라고  전화했더니  개소리하던 한국 대사관 미친년 생각나네요,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3qms0QnwA,Ugw1PXuZE5P6wtyjgpR4AaABAg,@유재종-x8g,북한 탈북자가.. 한국대사관 들어오다.. 잡혀가도 구경만하는....,6,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3y1diIdi-,Ugw1PXuZE5P6wtyjgpR4AaABAg,@hypnos-87,북한탈북자 ㄹㅈㄷ였던게 방송 중에도 대사관 측에선 나몰라라 시전했었음,12,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB3yy4x1Iow,Ugw1PXuZE5P6wtyjgpR4AaABAg,@inhukj7875,대사관에 돌 던져 그럼,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
Ugw1PXuZE5P6wtyjgpR4AaABAg.AB0vsdeJGJZAB41HFCcrtN,Ugw1PXuZE5P6wtyjgpR4AaABAg,@hypnos-87,@@inhukj7875 기물파손죄로 체포 각? 아이디어 좋네요,3,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgyWW0n5LaGjgRsHNnp4AaABAg,,@구동-d8i,"마지막 이병헌 표정, 카일보고 반가워서 웃으려다 이 상황을 설명해야함과 미안함에 약간의 난감한 표정으로 바로 바뀌는거 진짜 현실같다",5445,False,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgyWW0n5LaGjgRsHNnp4AaABAg.AB10L6b_tQ6AB6TkxV2diW,UgyWW0n5LaGjgRsHNnp4AaABAg,@WaxedExposedCutC0pperStair,연기 ㅈㄴ 잘함ㅋㅋ,100,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgyWW0n5LaGjgRsHNnp4AaABAg.AB10L6b_tQ6AB6ZXWoENRW,UgyWW0n5LaGjgRsHNnp4AaABAg,@故_라니,연기 디테일 미쳤음ㄹㅇ ㅋㅋㅋ,47,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgyWW0n5LaGjgRsHNnp4AaABAg.AB10L6b_tQ6AB7Uoe9BAay,UgyWW0n5LaGjgRsHNnp4AaABAg,@wjddyd0302,@@故_라니 연기하다보니 디테일이 된거같지않나요? ㅎㅎ,1,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
